Order,Family,Subfamily,Genus,Species,Type Species?,Exemplar Accession Number,Exemplar Isolate,Genome Composition,Last Change,MSL of Last Change,Proposal,Taxon History URL
Caudovirales,Myoviridae,Spounavirinae,Unassigned,Enterococcus virus phiEC24C,0,,,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150045
Caudovirales,Myoviridae,Spounavirinae,Unassigned,Lactobacillus phage Lb338-1,0,FJ822135,,dsDNA,"New,",30,2009.009a-pB.A.v3.Spounavirinae,ICTVonline=20150050
Caudovirales,Myoviridae,Spounavirinae,Unassigned,Lactobacillus virus LP65,0,,,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150046
Caudovirales,Myoviridae,Tevenvirinae,Cc31virus,Enterobacter virus CC31,1,GU323318,Enterobacter phage CC31,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150106
Caudovirales,Myoviridae,Tevenvirinae,Cc31virus,Enterobacter virus PG7,0,KJ101592,Enterobacter phage PG7,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150107
Caudovirales,Myoviridae,Tevenvirinae,Js98virus,Escherichia virus Bp7,0,HQ829472,Escherichia phage Bp7,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150093
Caudovirales,Myoviridae,Tevenvirinae,Js98virus,Escherichia virus IME08,0,HM071924,Escherichia phage IME08,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150092
Caudovirales,Myoviridae,Tevenvirinae,Js98virus,Escherichia virus JS10,0,EU863409,Escherichia phage JS10,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150094
Caudovirales,Myoviridae,Tevenvirinae,Js98virus,Escherichia virus JS98,1,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150063
Caudovirales,Myoviridae,Tevenvirinae,Js98virus,Escherichia virus VR5,0,KP007359,Escherichia phage vb_EcoM-VR5,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150095
Caudovirales,Myoviridae,Tevenvirinae,Rb49virus,Escherichia virus phi1,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150064
Caudovirales,Myoviridae,Tevenvirinae,Rb49virus,Escherichia virus RB49,1,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150069
Caudovirales,Myoviridae,Tevenvirinae,Rb69virus,Escherichia virus HX01,0,JX536493,Escherichia phage HX01,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150089
Caudovirales,Myoviridae,Tevenvirinae,Rb69virus,Escherichia virus JS09,0,KF582788,Escherichia phage vB_EcoM_JS09,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150088
Caudovirales,Myoviridae,Tevenvirinae,Rb69virus,Escherichia virus RB69,1,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150070
Caudovirales,Myoviridae,Tevenvirinae,Rb69virus,Shigella virus UTAM,0,KM407600,Shigella phage Shf125875,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150090
Caudovirales,Myoviridae,Tevenvirinae,S16virus,Salmonella virus S16,1,HQ331142,Salmonella phage vB_SenM-S16,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150104
Caudovirales,Myoviridae,Tevenvirinae,S16virus,Salmonella virus STML198,0,JX181825,Salmonella phage STML-198,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150103
Caudovirales,Myoviridae,Tevenvirinae,Schizot4virus,Vibrio virus KVP40,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150054
Caudovirales,Myoviridae,Tevenvirinae,Schizot4virus,Vibrio virus nt1,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150055
Caudovirales,Myoviridae,Tevenvirinae,Schizot4virus,Vibrio virus ValKK3,0,KP671755,Vibrio phage ValKK3,dsDNA,"New,",30,2015.052aB.A.v3.Schizot4virus_sp,ICTVonline=20150056
Caudovirales,Myoviridae,Tevenvirinae,Sp18virus,Escherichia virus VR7,0,HM563683,Escherichia phage vB_EcoM_VR7,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150098
Caudovirales,Myoviridae,Tevenvirinae,Sp18virus,Escherichia virus VR20,0,KP007360,Escherichia phage vB_EcoM_VR20,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150099
Caudovirales,Myoviridae,Tevenvirinae,Sp18virus,Escherichia virus VR25,0,KP007361,Escherichia phage vB_EcoM_VR25,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150100
Caudovirales,Myoviridae,Tevenvirinae,Sp18virus,Escherichia virus VR26,0,KP007362,Escherichia phage vB_EcoM_VR26,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150101
Caudovirales,Myoviridae,Tevenvirinae,Sp18virus,Shigella virus SP18,1,GQ981382,Shigella phage SP18,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150097
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus AR1,0,AP011113,Escherichia phage AR1,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150076
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus C40,0,JN986846,Escherichia phage vB_EcoM_ACG-C40,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150081
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus E112,0,KJ668714.2,Escherichia phage vB_EcoM_112,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150078
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus ECML134,0,JX128259,Escherichia phage ECML-134,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150079
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus Ime09,0,JN202312,Escherichia phage ime09,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150077
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus RB3,0,KM606994,Escherichia phage RB3,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150080
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus RB14,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150065
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Escherichia virus T4,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150062
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Shigella virus Pss1,0,KM501444,Shigella phage pSs-1,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150083
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Shigella virus Shfl2,0,HM035025,Shigella phage Shfl2,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150082
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Yersinia virus D1,0,HE956711,Yersinia phage phiD1,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150085
Caudovirales,Myoviridae,Tevenvirinae,T4virus,Yersinia virus PST,0,KF208315,Yersinia phage PST,dsDNA,"New,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150084
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Acinetobacter virus 133,0,,,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150073
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Aeromonas virus 65,0,,,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150074
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Aeromonas virus Aeh1,0,,,dsDNA,"Renamed,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150075
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Enterobacteria virus SV14,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150061
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Escherichia virus RB16,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150066
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Escherichia virus RB32,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150067
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Escherichia virus RB43,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150068
Caudovirales,Myoviridae,Tevenvirinae,Unassigned,Pseudomonas virus 42,0,,,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150071
Caudovirales,Myoviridae,Vequintavirinae,Cr3virus,Cronobacter virus CR3,1,JQ691612,Cronobacter phage CR3,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150247
Caudovirales,Myoviridae,Vequintavirinae,Cr3virus,Cronobacter virus CR8,0,KC954774,Cronobacter phage CR8,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150248
Caudovirales,Myoviridae,Vequintavirinae,Cr3virus,Cronobacter virus CR9,0,JQ691611,Cronobacter phage CR9,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150249
Caudovirales,Myoviridae,Vequintavirinae,Se1virus,Cronobacter virus GAP31,0,JN882284,Cronobacter phage vB_CsaM_GAP31,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150245
Caudovirales,Myoviridae,Vequintavirinae,Se1virus,Escherichia virus 4MG,0,KF550303,Escherichia phage 4MG,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150244
Caudovirales,Myoviridae,Vequintavirinae,Se1virus,Salmonella virus SE1,1,GU070616,Salmonella phage SE1,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150242
Caudovirales,Myoviridae,Vequintavirinae,Se1virus,Salmonella virus SSE121,0,JX181824,Salmonella phage SSE121,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150243
Caudovirales,Myoviridae,Vequintavirinae,V5virus,Escherichia virus FFH2,0,KJ190158,Escherichia phage FFH2,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150240
Caudovirales,Myoviridae,Vequintavirinae,V5virus,Escherichia virus FV3,0,JQ031132,Escherichia phage FV3,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150239
Caudovirales,Myoviridae,Vequintavirinae,V5virus,Escherichia virus JES2013,0,KC690136,Escherichia phage JES2013,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150238
Caudovirales,Myoviridae,Vequintavirinae,V5virus,Escherichia virus V5,1,DQ832317,Escherichia phage V5,dsDNA,"New,",30,2015.023a-oB.A.v2.Vequintavirinae,ICTVonline=20150237
Caudovirales,Myoviridae,,Agatevirus,Bacillus virus Agate,1,JX238501,Bacillus phage phiAGATE,dsDNA,"New,",30,2015.032a-dB.A.v2.Agatevirus,ICTVonline=20150209
Caudovirales,Myoviridae,,Agatevirus,Bacillus virus Bobb,0,KM051843,Bacillus phage Bobb,dsDNA,"New,",30,2015.032a-dB.A.v2.Agatevirus,ICTVonline=20150210
Caudovirales,Myoviridae,,Agatevirus,Bacillus virus Bp8pC,0,KJ010547,Bacillus phage Bp8p-C,dsDNA,"New,",30,2015.032a-dB.A.v2.Agatevirus,ICTVonline=20150211
Caudovirales,Myoviridae,,Ap22virus,Acinetobacter virus AB1,0,HM368260,Acinetobacter phage AB1,dsDNA,"New,",30,2015.043a-dB.A.v2.Ap22virus,ICTVonline=20150182
Caudovirales,Myoviridae,,Ap22virus,Acinetobacter virus AB2,0,JX976549,Acinetobacter phage vB_AbaM-IME-AB2,dsDNA,"New,",30,2015.043a-dB.A.v2.Ap22virus,ICTVonline=20150181
Caudovirales,Myoviridae,,Ap22virus,Acinetobacter virus AbC62,0,KJ817802,Acinetobacter phage YMC-13-01-C62,dsDNA,"New,",30,2015.043a-dB.A.v2.Ap22virus,ICTVonline=20150180
Caudovirales,Myoviridae,,Ap22virus,Acinetobacter virus AP22,1,HE806280,Acinetobacter phage AP22,dsDNA,"New,",30,2015.043a-dB.A.v2.Ap22virus,ICTVonline=20150183
Caudovirales,Myoviridae,,B4virus,Bacillus virus B4,1,JN790865,Bacillus phage B4,dsDNA,"New,",30,2015.033a-dB.A.v2.B4virus,ICTVonline=20150203
Caudovirales,Myoviridae,,B4virus,Bacillus virus Bigbertha,0,KF669647,Bacillus phage BigBertha,dsDNA,"New,",30,2015.033a-dB.A.v2.B4virus,ICTVonline=20150205
Caudovirales,Myoviridae,,B4virus,Bacillus virus Riley,0,KJ489402,Bacillus phage Riley,dsDNA,"New,",30,2015.033a-dB.A.v2.B4virus,ICTVonline=20150207
Caudovirales,Myoviridae,,B4virus,Bacillus virus Spock,0,KF669662,Bacillus phage Spock,dsDNA,"New,",30,2015.033a-dB.A.v2.B4virus,ICTVonline=20150204
Caudovirales,Myoviridae,,B4virus,Bacillus virus Troll,0,KF208639,Bacillus phage Troll,dsDNA,"New,",30,2015.033a-dB.A.v2.B4virus,ICTVonline=20150206
Caudovirales,Myoviridae,,Bastillevirus,Bacillus virus Bastille,1,JF966203,Bacillus phage Bastille,dsDNA,"New,",30,2015.034a-dB.A.v2.Bastillevirus,ICTVonline=20150200
Caudovirales,Myoviridae,,Bastillevirus,Bacillus virus CAM003,0,KJ489397,Bacillus phage CAM003,dsDNA,"New,",30,2015.034a-dB.A.v2.Bastillevirus,ICTVonline=20150201
Caudovirales,Myoviridae,,Bc431virus,Bacillus virus Bc431,1,JX094431.1,Bacillus phage vB_BceM_Bc431v3,dsDNA,"New,",30,2015.035a-dB.A.v2.Bc431virus,ICTVonline=20150196
Caudovirales,Myoviridae,,Bc431virus,Bacillus virus Bcp1,0,KJ451625.1,Bacillus phage Bcp1,dsDNA,"New,",30,2015.035a-dB.A.v2.Bc431virus,ICTVonline=20150195
Caudovirales,Myoviridae,,Bc431virus,Bacillus virus BCP82,0,KJ081346.1,Bacillus phage BCP8-2,dsDNA,"New,",30,2015.035a-dB.A.v2.Bc431virus,ICTVonline=20150198
Caudovirales,Myoviridae,,Bc431virus,Bacillus virus JBP901,0,KJ676859.1,Bacillus phage JBP901,dsDNA,"New,",30,2015.035a-dB.A.v2.Bc431virus,ICTVonline=20150197
Caudovirales,Myoviridae,,Bcep78virus,Burkholderia virus Bcep1,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150110
Caudovirales,Myoviridae,,Bcep78virus,Burkholderia virus Bcep43,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150111
Caudovirales,Myoviridae,,Bcep78virus,Burkholderia virus Bcep781,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150112
Caudovirales,Myoviridae,,Bcep78virus,Burkholderia virus BcepNY3,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150113
Caudovirales,Myoviridae,,Bcep78virus,Xanthomonas virus OP2,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150114
Caudovirales,Myoviridae,,Bcepmuvirus,Burkholderia virus BcepMu,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150116
Caudovirales,Myoviridae,,Bcepmuvirus,Burkholderia virus phiE255,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150117
Caudovirales,Myoviridae,,Biquartavirus,Aeromonas virus 44RR2,1,AY375531,Aeromonas phage 44RR2.8t,dsDNA,"Renamed,Moved,",30,2015.020a-aeB.A.v4.Tevenvirinae,ICTVonline=20150060
Caudovirales,Myoviridae,,Bxz1virus,Mycobacterium virus I3,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150133
Caudovirales,Myoviridae,,Cd119virus,Clostridium virus phiC2,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150145
Caudovirales,Myoviridae,,Cd119virus,Clostridium virus phiCD27,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150146
Caudovirales,Myoviridae,,Cd119virus,Clostridium virus phiCD119,1,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150147
Caudovirales,Myoviridae,,Cp51virus,Bacillus virus CP51,1,KF554508.2,Bacillus phage CP-51,dsDNA,"New,",30,2015.036a-dBA.v2.Cp51virus,ICTVonline=20150191
Caudovirales,Myoviridae,,Cp51virus,Bacillus virus JL,0,KC595512.2,Bacillus phage JL,dsDNA,"New,",30,2015.036a-dBA.v2.Cp51virus,ICTVonline=20150193
Caudovirales,Myoviridae,,Cp51virus,Bacillus virus Shanette,0,KC595513.2,Bacillus phage Shanette,dsDNA,"New,",30,2015.036a-dBA.v2.Cp51virus,ICTVonline=20150192
Caudovirales,Myoviridae,,Cvm10virus,Escherichia virus CVM10,1,GU903191,Escherichia phage vB_EcoM_ECO1230-10,dsDNA,"New,",30,2015.049a-dB.A.v2.Cvm10virus,ICTVonline=20150175
Caudovirales,Myoviridae,,Cvm10virus,Escherichia virus ep3,0,KM360178,Escherichia phage vB_EcoM-ep3,dsDNA,"New,",30,2015.049a-dB.A.v2.Cvm10virus,ICTVonline=20150176
Caudovirales,Myoviridae,,Felixo1virus,Erwinia virus Ea214,0,,,dsDNA,"Renamed,Moved,",30,2015.025aB.A.v4.phagesp_ren,ICTVonline=20150119
Caudovirales,Myoviridae,,Felixo1virus,Escherichia virus AYO145A,0,KR014248,Escherichia phage vB_EcoM_AYO145A,dsDNA,"New,",30,2015.047aB.A.v3.Felixo1virus_7sp,ICTVonline=20150126
Caudovirales,Myoviridae,,Felixo1virus,Escherichia virus EC6,0,JX560968,Escherichia phage EC6,dsDNA,"New,",30,2015.047aB.A.v3.Felixo1virus_7sp,ICTVonline=20150128
Caudovirales,Myoviridae,,Felixo1virus,Escherichia virus JH2,0,KF055347,Escherichia phage JH2,dsDNA,"New,",30,2015.047aB.A.v3.Felixo1virus_7sp,ICTVonline=20150125
Caudovirales,Myoviridae,,Felixo1virus,Escherichia virus VpaE1,0,KM657822,Escherichia phage vB_EcoM-VpaE1,dsDNA,"New,",30,2015.047aB.A.v3.Felixo1virus_7sp,ICTVonline=20150123
